"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D9,D4,D3,D15,D11,D8,D2,D7,D16,D14,D12,D10,D13,D5,D6";"D_SOD-323";16;"1N4148WS";;;
2;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
3;"SW2,SW5,SW3,SW9,SW10,SW1,SW6,SW11,SW15,SW8,SW7,SW14,SW4,SW16,SW13,SW12";"CherryMX_1.00u_PCB";16;"~";;;
4;"J1";"UJ20CHGSMT5P16TR";1;"USB";;;
5;"R2,R1";"R_0805_2012Metric";2;"22";;;
6;"C1";"C_0805_2012Metric";1;"1uf";;;
7;"R3,R4";"R_0805_2012Metric";2;"5.1k";;;
8;"R5";"R_0805_2012Metric";1;"10k";;;
9;"C4";"C_0805_2012Metric";1;"0.1uf";;;
10;"SW17";"SW_PUSH_6mm_H4.3mm";1;"Reset";;;
11;"Y1";"ABM3";1;"ABM3-16.000MHZ-D2Y-T";;;
12;"C3,C2";"C_0805_2012Metric";2;"22uf";;;
13;"IC1";"QFP80P1200X1200X120-44N";1;"ATMEGA32U4-AU";;;
